pdb,subtype,subtype_aug,y_true,y_pred
1arj,viral_tar,viral_tar,3.0,5.209020137786865
407d,duplex_groove,duplex_groove,6.4634,5.903741836547852
408d,duplex_groove,duplex_groove,7.3188,6.14904260635376
1qms,other_misc,other_misc,9.0,7.266645431518555
1byj,ribosomal_asite,ribosomal_asite,5.699,5.645153045654297
1db6,other_misc,other_misc,4.0,5.491286754608154
1cvy,duplex_groove,duplex_groove,6.4202,6.099095821380615
454d,duplex_groove,duplex_groove,8.0,6.371147632598877
1cvx,duplex_groove,duplex_groove,4.9586,5.826518535614014
1f27,aptamer,aptamer,6.0,7.5569868087768555
1f1t,aptamer,aptamer,7.3979,6.5911478996276855
1qd3,other_misc,other_misc,5.2291,5.565572738647461
1fyp,ribosomal_asite,ribosomal_asite,5.6021,6.020195960998535
1i9v,ribosomal_asite,ribosomal_asite,3.466,5.027242660522461
1nzm,g_quadruplex,g_quadruplex,6.4815,6.461339473724365
1p96,duplex_groove,duplex_groove,5.5952,5.110611438751221
1qv8,duplex_groove,duplex_groove,6.9431,6.497683525085449
1qv4,duplex_groove,duplex_groove,6.9066,6.307087421417236
1r4e,duplex_groove,duplex_groove,5.2733,5.4043755531311035
1q8n,aptamer,aptamer,6.0969,6.790103435516357
1uts,viral_tar,viral_tar,7.4089,5.458272933959961
1uud,viral_tar,viral_tar,5.8125,5.261052131652832
1yrj,other_misc,other_misc,6.699,5.560730457305908
2bee,ribosomal_asite,ribosomal_asite,7.0,6.032492637634277
2be0,ribosomal_asite,ribosomal_asite,6.8861,5.9846978187561035
1ykv,other_misc,other_misc,5.0,5.935078144073486
2g5k,ribosomal_asite,ribosomal_asite,6.301,5.644996643066406
2b57,riboswitch,riboswitch_0,7.7696,5.561051368713379
2f4s,ribosomal_asite,ribosomal_asite,4.7212,5.345285892486572
2f4t,ribosomal_asite,ribosomal_asite,5.6576,5.688342571258545
2g9c,other_misc,other_misc,5.699,5.301303863525391
2f4u,ribosomal_asite,ribosomal_asite,5.2291,5.583016872406006
2au4,aptamer,aptamer,7.1249,6.4005913734436035
2o3w,ribosomal_asite,ribosomal_asite,5.585,5.459391117095947
2o3x,ribosomal_asite,ribosomal_asite,4.301,5.516221046447754
3e5c,riboswitch,riboswitch_3,9.2441,6.718108177185059
3fo4,riboswitch,riboswitch_0,6.1427,5.2532219886779785
3ger,riboswitch,riboswitch_0,6.0506,5.457515716552734
2kgp,riboswitch,riboswitch_0,6.0,2.731086254119873
3fu2,riboswitch,riboswitch_5,7.699,7.655128479003906
3ges,riboswitch,riboswitch_0,4.699,5.489999771118164
3fo6,riboswitch,riboswitch_0,4.6383,5.795199871063232
3gog,riboswitch,riboswitch_0,4.6198,6.227982997894287
2kdq,viral_tar,viral_tar,7.5229,7.675296306610107
3ds7,other_misc,other_misc,4.4089,6.09980583190918
3gao,riboswitch,riboswitch_0,4.4089,5.653989315032959
3g4m,riboswitch,riboswitch_0,5.3565,6.56679105758667
3got,riboswitch,riboswitch_0,5.3979,6.553128242492676
3jq4,other_misc,other_misc,5.0,5.727257251739502
3mum,riboswitch,riboswitch_2,9.6778,7.383885383605957
3mxh,riboswitch,riboswitch_2,10.9586,7.377081871032715
3mur,riboswitch,riboswitch_2,7.8239,7.357904434204102
3la5,riboswitch,riboswitch_0,6.0,5.607835292816162
2ku0,other_misc,other_misc,5.585,5.876375675201416
3owz,riboswitch,riboswitch_1,5.4559,4.693510055541992
3npn,riboswitch,riboswitch_3,7.4949,6.709484100341797
2kx8,other_misc,other_misc,5.2,5.144018173217773
2ktz,other_misc,other_misc,5.0458,6.057999610900879
2ygh,riboswitch,riboswitch_3,6.5086,6.371965408325195
2ydh,riboswitch,riboswitch_3,5.71,6.719445705413818
2xo1,aptamer,aptamer,4.0,4.282804012298584
2xnz,aptamer,aptamer,3.9586,3.8568005561828613
3sd3,riboswitch,riboswitch_5,4.7447,4.960994720458984
3q50,riboswitch,riboswitch_5,8.6882,6.531030654907227
3q3z,riboswitch,riboswitch_2,8.6576,7.204836368560791
2l94,other_misc,other_misc,3.4437,5.463276386260986
2xnw,aptamer,aptamer,3.4318,3.537677764892578
3slm,other_misc,other_misc,3.4214,6.482874393463135
2xo0,aptamer,aptamer,4.0969,4.096615791320801
3s4p,other_misc,other_misc,6.0,6.189235210418701
4aob,riboswitch,riboswitch_3,6.3098,6.249917030334473
4fe5,riboswitch,riboswitch_0,6.1355,5.7268877029418945
2loa,g_quadruplex,g_quadruplex,5.6576,4.968897342681885
4erj,riboswitch,riboswitch_1,2.5086,5.119720935821533
2lwk,other_misc,other_misc,4.2967,5.033966541290283
4erl,riboswitch,riboswitch_1,3.2441,5.703168869018555
2mb3,other_misc,other_misc,5.1308,6.154311656951904
2rsk,other_misc,other_misc,5.0,6.738508224487305
4jf2,riboswitch,riboswitch_5,7.7471,6.824099540710449
4kqy,riboswitch,riboswitch_3,7.7212,6.420810222625732
4oqu,riboswitch,riboswitch_3,6.3872,6.38848876953125
4lvz,riboswitch,riboswitch_0,6.301,5.833864688873291
4nyg,riboswitch,riboswitch_0,5.8239,2.2704083919525146
4nyb,riboswitch,riboswitch_1,3.9872,6.533938407897949
4lvy,riboswitch,riboswitch_5,3.9586,5.674037456512451
4lvx,riboswitch,riboswitch_5,4.7447,5.1853346824646
4qln,riboswitch,riboswitch_2,5.5376,6.781219959259033
4lx5,riboswitch,riboswitch_0,6.6716,5.914412021636963
4nyc,riboswitch,riboswitch_0,3.5528,6.093031406402588
4qk8,riboswitch,riboswitch_2,6.5229,6.539924621582031
4qk9,riboswitch,riboswitch_2,6.5229,6.601558208465576
4nya,riboswitch,riboswitch_0,4.3098,6.358980178833008
4w90,riboswitch,riboswitch_2,7.2749,6.608066558837891
4ts0,aptamer,aptamer,6.2757,6.382530212402344
4ts2,aptamer,aptamer,6.2757,6.157165050506592
4qlm,riboswitch,riboswitch_2,7.1805,6.789137363433838
4lvw,riboswitch,riboswitch_5,4.1805,7.1726484298706055
4nyd,riboswitch,riboswitch_0,3.1739,5.366038799285889
4l81,riboswitch,riboswitch_3,5.1367,6.5872907638549805
4lw0,riboswitch,riboswitch_0,5.0969,6.708045482635498
4lvv,riboswitch,riboswitch_5,5.0177,5.470956802368164
