pdb,subtype,y_true,y_pred
1arj,viral_tar,3.0,5.915635631866534
407d,duplex_groove,6.4634,5.785733624327147
408d,duplex_groove,7.3188,6.200201766935507
1qms,other_misc,9.0,5.130756808432125
1byj,ribosomal_asite,5.699,5.459452291758566
1db6,other_misc,4.0,5.962703562025993
1cvy,duplex_groove,6.4202,6.980748269008894
454d,duplex_groove,8.0,6.080520866431378
1cvx,duplex_groove,4.9586,6.202322992981271
1f27,aptamer,6.0,6.893962403299328
1f1t,aptamer,7.3979,6.191760595060234
1qd3,other_misc,5.2291,5.338464726581908
1fyp,ribosomal_asite,5.6021,5.859140849308069
1i9v,ribosomal_asite,3.466,5.310629203091587
1nzm,g_quadruplex,6.4815,6.253250577913263
1p96,duplex_groove,5.5952,5.360136235730112
1qv8,duplex_groove,6.9431,6.315770462117586
1qv4,duplex_groove,6.9066,7.204923178276536
1r4e,duplex_groove,5.2733,5.602224680226174
1q8n,aptamer,6.0969,6.246388585053247
1uts,viral_tar,7.4089,6.073053572244538
1uud,viral_tar,5.8125,5.952179485906852
1yrj,other_misc,6.699,4.971947792399
2bee,ribosomal_asite,7.0,6.114135087490638
2be0,ribosomal_asite,6.8861,6.127705175405204
1ykv,other_misc,5.0,2.1658290048275246
2g5k,ribosomal_asite,6.301,5.959626409110527
2b57,riboswitch,7.7696,5.151924456374192
2f4s,ribosomal_asite,4.7212,5.4140444808301424
2f4t,ribosomal_asite,5.6576,5.423201080494678
2g9c,other_misc,5.699,2.471523853017023
2f4u,ribosomal_asite,5.2291,5.364677366783255
2au4,aptamer,7.1249,5.861294574833028
2o3w,ribosomal_asite,5.585,5.365265521554328
2o3x,ribosomal_asite,4.301,5.285756083730924
3e5c,riboswitch,9.2441,6.332662778162424
3fo4,riboswitch,6.1427,5.36907228809787
3ger,riboswitch,6.0506,5.6280595569381155
2kgp,riboswitch,6.0,5.599127446066351
3fu2,riboswitch,7.699,6.581876196894703
3ges,riboswitch,4.699,5.2181396773294395
3fo6,riboswitch,4.6383,5.172503488377895
3gog,riboswitch,4.6198,6.3362960665642785
2kdq,viral_tar,7.5229,9.278770847301116
3ds7,other_misc,4.4089,3.1703806116654216
3gao,riboswitch,4.4089,5.565450132636258
3g4m,riboswitch,5.3565,6.009995365066471
3got,riboswitch,5.3979,6.040974343350394
3jq4,other_misc,5.0,0.4214000701904297
3mum,riboswitch,9.6778,9.094196798855535
3mxh,riboswitch,10.9586,8.138642492367442
3mur,riboswitch,7.8239,10.436646122919846
3la5,riboswitch,6.0,6.035017298119893
2ku0,other_misc,5.585,5.024360002096534
3owz,riboswitch,5.4559,4.204494764052276
3npn,riboswitch,7.4949,6.396362916193001
2kx8,other_misc,5.2,0.4214000701904297
2ktz,other_misc,5.0458,5.557956314848351
2ygh,riboswitch,6.5086,6.007821844397311
2ydh,riboswitch,5.71,6.602419254485264
2xo1,aptamer,4.0,4.563640229527179
2xnz,aptamer,3.9586,4.2387769115698015
3sd3,riboswitch,4.7447,5.164657496996199
3q50,riboswitch,8.6882,6.753417089114192
3q3z,riboswitch,8.6576,6.883880578756459
2l94,other_misc,3.4437,0.4214000701904297
2xnw,aptamer,3.4318,4.438040764381238
3slm,other_misc,3.4214,1.7270151069655184
2xo0,aptamer,4.0969,4.183254359459278
3s4p,other_misc,6.0,3.765973597351102
4aob,riboswitch,6.3098,6.030769159394865
4fe5,riboswitch,6.1355,6.822534581764362
2loa,g_quadruplex,5.6576,6.458711978764782
4erj,riboswitch,2.5086,3.4224024451010457
2lwk,other_misc,4.2967,1.2940210770816551
4erl,riboswitch,3.2441,3.3408727642063507
2mb3,other_misc,5.1308,5.7745505224436755
2rsk,other_misc,5.0,0.4214000701904297
4jf2,riboswitch,7.7471,6.855534974666542
4kqy,riboswitch,7.7212,6.5965862872374785
4oqu,riboswitch,6.3872,5.081778046410604
4lvz,riboswitch,6.301,6.228638020943549
4nyg,riboswitch,5.8239,4.53755153077002
4nyb,riboswitch,3.9872,3.5316540153502105
4lvy,riboswitch,3.9586,4.832068550456235
4lvx,riboswitch,4.7447,4.164418107881097
4qln,riboswitch,5.5376,6.933481618481395
4lx5,riboswitch,6.6716,6.99617692804093
4nyc,riboswitch,3.5528,3.4203301638150334
4qk8,riboswitch,6.5229,6.7317275128265495
4qk9,riboswitch,6.5229,6.950375453418841
4nya,riboswitch,4.3098,4.172036495258724
4w90,riboswitch,7.2749,6.891525041727332
4ts0,aptamer,6.2757,6.09161418927293
4ts2,aptamer,6.2757,6.242700038628373
4qlm,riboswitch,7.1805,6.001810475450941
4lvw,riboswitch,4.1805,4.728908321169129
4nyd,riboswitch,3.1739,5.2956877630617605
4l81,riboswitch,5.1367,6.686358202808433
4lw0,riboswitch,5.0969,5.295419552941963
4lvv,riboswitch,5.0177,4.316890037929976
4lx6,riboswitch,7.0223,6.165862203621705
2mg8,g_quadruplex,6.0155,6.369460073443165
4yb0,riboswitch,6.0315,7.397990657847332
4xwf,g_quadruplex,5.9666,2.327899932861328
4znp,g_quadruplex,5.3279,2.657599925994873
5c7u,riboswitch,7.3768,5.6917641004414214
5btp,g_quadruplex,6.3125,2.327899932861328
5c7w,riboswitch,7.3188,6.249644944681851
2mxs,ribosomal_asite,5.2924,5.948206509364894
4rzd,riboswitch,8.1871,6.713268390977335
4yaz,riboswitch,7.1759,6.102266022753808
2n0j,ribosomal_asite,6.4815,5.453230522635648
5cdb,g_quadruplex,5.9586,6.383649605623617
5lwj,other_misc,5.5432,1.7125844682052824
5uzz,other_misc,6.699,3.5784072733933012
5kpy,aptamer,5.4089,6.3631198825173545
5uee,other_misc,3.699,0.4214000701904297
5v3f,aptamer,8.5229,6.681953307822374
5z80,other_misc,5.9136,5.644300905822284
6d2u,other_misc,9.7447,4.23661351813077
6dmc,riboswitch,6.2924,6.0390266395093954
6c65,aptamer,9.0458,8.249573032809149
6c63,aptamer,8.9586,8.841800584137781
6c64,aptamer,8.8539,7.748749451876629
6ck4,riboswitch,5.7447,6.5999134057652595
5w77,other_misc,4.7825,5.832503929998367
6ck5,riboswitch,5.699,4.1707000984879485
6fz0,riboswitch,5.3595,7.417246880485305
6dlt,riboswitch,4.2277,5.586273335215532
6e84,aptamer,5.8539,5.994058147855679
6j2w,other_misc,5.8539,5.654234352091251
6e8t,aptamer,8.7696,7.541476844200595
6qn3,riboswitch,3.7212,3.9482567225701146
6e8s,aptamer,8.6383,8.000665271542186
6hmo,other_misc,4.5528,1.451267606376264
6hag,riboswitch,5.4318,6.708863762793035
6p2h,other_misc,7.4685,1.5678650465121442
6jj0,g_quadruplex,7.4437,6.013300532603137
6e81,aptamer,5.5229,6.25939681884685
6e8u,aptamer,8.3372,7.911664789730596
6hbt,duplex_groove,5.3279,3.875420624589408
6sx3,other_misc,5.1549,5.770540488567216
