pdb,subtype,y_true,y_pred,y_pred_ridge
1arj,viral_tar,3.0,5.335272312164307,5.335272312164307
407d,duplex_groove,6.4634,5.831724643707275,5.831724643707275
408d,duplex_groove,7.3188,5.963547706604004,5.963547706604004
1qms,other_misc,9.0,6.999634265899658,6.999634265899658
1byj,ribosomal_asite,5.699,5.667500019073486,5.667500019073486
1db6,other_misc,4.0,5.539931297302246,5.539931297302246
1cvy,duplex_groove,6.4202,5.949511528015137,5.949511528015137
454d,duplex_groove,8.0,6.334674835205078,6.334674835205078
1cvx,duplex_groove,4.9586,5.688658237457275,5.688658237457275
1f27,aptamer,6.0,7.465848922729492,7.465848922729492
1f1t,aptamer,7.3979,6.43632698059082,6.43632698059082
1qd3,other_misc,5.2291,5.613686561584473,5.613686561584473
1fyp,ribosomal_asite,5.6021,6.035739898681641,6.035739898681641
1i9v,ribosomal_asite,3.466,5.115106582641602,5.115106582641602
1nzm,g_quadruplex,6.4815,6.36731481552124,6.36731481552124
1p96,duplex_groove,5.5952,5.175454139709473,5.175454139709473
1qv8,duplex_groove,6.9431,6.312852382659912,6.312852382659912
1qv4,duplex_groove,6.9066,6.123937129974365,6.123937129974365
1r4e,duplex_groove,5.2733,5.483057022094727,5.483057022094727
1q8n,aptamer,6.0969,6.7068963050842285,6.7068963050842285
1uts,viral_tar,7.4089,5.487984657287598,5.487984657287598
1uud,viral_tar,5.8125,5.360762119293213,5.360762119293213
1yrj,other_misc,6.699,5.659765243530273,5.659765243530273
2bee,ribosomal_asite,7.0,5.994287014007568,5.994287014007568
2be0,ribosomal_asite,6.8861,5.970097541809082,5.970097541809082
1ykv,other_misc,5.0,5.966029644012451,5.966029644012451
2g5k,ribosomal_asite,6.301,5.6987457275390625,5.6987457275390625
2b57,riboswitch,7.7696,5.1519244563742035,5.558628559112549
2f4s,ribosomal_asite,4.7212,5.4282989501953125,5.4282989501953125
2f4t,ribosomal_asite,5.6576,5.729654312133789,5.729654312133789
2g9c,other_misc,5.699,5.319446563720703,5.319446563720703
2f4u,ribosomal_asite,5.2291,5.670257568359375,5.670257568359375
2au4,aptamer,7.1249,6.4794230461120605,6.4794230461120605
2o3w,ribosomal_asite,5.585,5.52109956741333,5.52109956741333
2o3x,ribosomal_asite,4.301,5.60170841217041,5.60170841217041
3e5c,riboswitch,9.2441,6.332662778162392,6.690846920013428
3fo4,riboswitch,6.1427,5.369072288097835,6.000662803649902
3ger,riboswitch,6.0506,5.628059556938113,5.4271440505981445
2kgp,riboswitch,6.0,5.599127446066236,6.005959987640381
3fu2,riboswitch,7.699,6.58187619689469,5.886506080627441
3ges,riboswitch,4.699,5.218139677329415,5.80876350402832
3fo6,riboswitch,4.6383,5.172503488377977,5.490379810333252
3gog,riboswitch,4.6198,6.336296066564202,6.078476905822754
2kdq,viral_tar,7.5229,7.433250904083252,7.433250904083252
3ds7,other_misc,4.4089,6.08962345123291,6.08962345123291
3gao,riboswitch,4.4089,5.565450132636249,5.655259609222412
3g4m,riboswitch,5.3565,6.009995365066493,5.548187732696533
3got,riboswitch,5.3979,6.040974343350399,5.386467456817627
3jq4,other_misc,5.0,5.795341491699219,5.795341491699219
3mum,riboswitch,9.6778,9.0941967988555,7.15131950378418
3mxh,riboswitch,10.9586,8.138642492367463,7.0992045402526855
3mur,riboswitch,7.8239,10.436646122919727,7.119536399841309
3la5,riboswitch,6.0,6.035017298119877,5.2117085456848145
2ku0,other_misc,5.585,5.8470377922058105,5.8470377922058105
3owz,riboswitch,5.4559,4.204494764052319,4.852561950683594
3npn,riboswitch,7.4949,6.396362916192997,6.688330173492432
2kx8,other_misc,5.2,5.250543117523193,5.250543117523193
2ktz,other_misc,5.0458,6.000896453857422,6.000896453857422
2ygh,riboswitch,6.5086,6.007821844397269,6.490106105804443
2ydh,riboswitch,5.71,6.602419254485275,6.763729572296143
2xo1,aptamer,4.0,4.1692280769348145,4.1692280769348145
2xnz,aptamer,3.9586,3.8749871253967285,3.8749871253967285
3sd3,riboswitch,4.7447,5.164657496996284,5.760429382324219
3q50,riboswitch,8.6882,6.753417089114162,5.752470970153809
3q3z,riboswitch,8.6576,6.883880578756446,6.937467575073242
2l94,other_misc,3.4437,5.501559257507324,5.501559257507324
2xnw,aptamer,3.4318,3.3152198791503906,3.3152198791503906
3slm,other_misc,3.4214,6.443787574768066,6.443787574768066
2xo0,aptamer,4.0969,4.218408584594727,4.218408584594727
3s4p,other_misc,6.0,6.177889347076416,6.177889347076416
4aob,riboswitch,6.3098,6.030769159394896,6.3937530517578125
4fe5,riboswitch,6.1355,6.8225345817643035,5.4324049949646
2loa,g_quadruplex,5.6576,5.1092634201049805,5.1092634201049805
4erj,riboswitch,2.5086,3.422402445101019,5.246570587158203
2lwk,other_misc,4.2967,5.200886249542236,5.200886249542236
4erl,riboswitch,3.2441,3.3408727642063667,5.730475902557373
2mb3,other_misc,5.1308,6.140790939331055,6.140790939331055
2rsk,other_misc,5.0,6.6485090255737305,6.6485090255737305
4jf2,riboswitch,7.7471,6.855534974666474,5.675541877746582
4kqy,riboswitch,7.7212,6.596586287237497,6.463672637939453
4oqu,riboswitch,6.3872,5.081778046410573,6.476324081420898
4lvz,riboswitch,6.301,6.228638020943567,5.413673400878906
4nyg,riboswitch,5.8239,4.537551530769988,6.185030937194824
4nyb,riboswitch,3.9872,3.531654015350277,6.5617756843566895
4lvy,riboswitch,3.9586,4.832068550456233,5.766491413116455
4lvx,riboswitch,4.7447,4.164418107881085,5.630447864532471
4qln,riboswitch,5.5376,6.933481618481319,6.74077033996582
4lx5,riboswitch,6.6716,6.996176928040921,5.340672492980957
4nyc,riboswitch,3.5528,3.4203301638150476,6.264342784881592
4qk8,riboswitch,6.5229,6.731727512826489,6.578557968139648
4qk9,riboswitch,6.5229,6.950375453418865,6.580662250518799
