pdb,subtype,y_true,y_pred,vina_score
1arj,viral_tar,3.0,5.334991455078125,-6.266
407d,duplex_groove,6.4634,5.832016468048096,-10.794
408d,duplex_groove,7.3188,5.963712215423584,-9.949
1qms,other_misc,9.0,6.9994401931762695,
1byj,ribosomal_asite,5.699,5.667513847351074,-8.046
1db6,other_misc,4.0,5.5396952629089355,-6.251
1cvy,duplex_groove,6.4202,5.949533462524414,-8.653
454d,duplex_groove,8.0,6.334715843200684,
1cvx,duplex_groove,4.9586,5.688873291015625,-10.514
1f27,aptamer,6.0,7.465951919555664,-9.319
1f1t,aptamer,7.3979,6.436290264129639,
1qd3,other_misc,5.2291,5.613666534423828,-7.731
1fyp,ribosomal_asite,5.6021,6.035881042480469,-10.205
1i9v,ribosomal_asite,3.466,5.115126609802246,-8.096
1nzm,g_quadruplex,6.4815,6.367465496063232,
1p96,duplex_groove,5.5952,5.1754913330078125,-8.828
1qv8,duplex_groove,6.9431,6.313412666320801,-12.807
1qv4,duplex_groove,6.9066,6.124382019042969,-12.866
1r4e,duplex_groove,5.2733,5.483041286468506,-8.629
1q8n,aptamer,6.0969,6.706814765930176,
1uts,viral_tar,7.4089,5.487707138061523,-7.032
1uud,viral_tar,5.8125,5.360435485839844,-6.576
1yrj,other_misc,6.699,5.659718990325928,-10.054
2bee,ribosomal_asite,7.0,5.994213581085205,
2be0,ribosomal_asite,6.8861,5.969954967498779,
1ykv,other_misc,5.0,5.965867519378662,
2g5k,ribosomal_asite,6.301,5.698748588562012,
2b57,riboswitch,7.7696,5.1519244563742035,
2f4s,ribosomal_asite,4.7212,5.428151607513428,
2f4t,ribosomal_asite,5.6576,5.729469299316406,-6.876
2g9c,other_misc,5.699,5.319464206695557,
2f4u,ribosomal_asite,5.2291,5.67006778717041,-7.694
2au4,aptamer,7.1249,6.477753639221191,-9.773
2o3w,ribosomal_asite,5.585,5.52116584777832,-8.499
2o3x,ribosomal_asite,4.301,5.6016645431518555,-7.563
3e5c,riboswitch,9.2441,6.332662778162392,
3fo4,riboswitch,6.1427,5.369072288097835,
3ger,riboswitch,6.0506,5.628059556938113,
2kgp,riboswitch,6.0,5.599127446066236,-5.997
3fu2,riboswitch,7.699,6.58187619689469,
3ges,riboswitch,4.699,5.218139677329415,
3fo6,riboswitch,4.6383,5.172503488377977,
3gog,riboswitch,4.6198,6.336296066564202,
2kdq,viral_tar,7.5229,7.433204650878906,
3ds7,other_misc,4.4089,6.089513301849365,-9.722
3gao,riboswitch,4.4089,5.565450132636249,
3g4m,riboswitch,5.3565,6.009995365066493,
3got,riboswitch,5.3979,6.040974343350399,
3jq4,other_misc,5.0,5.795181751251221,-7.58
3mum,riboswitch,9.6778,9.0941967988555,
3mxh,riboswitch,10.9586,8.138642492367463,
3mur,riboswitch,7.8239,10.436646122919727,
3la5,riboswitch,6.0,6.035017298119877,-8.116
2ku0,other_misc,5.585,5.8468499183654785,-6.688
3owz,riboswitch,5.4559,4.204494764052319,
3npn,riboswitch,7.4949,6.396362916192997,-7.954
2kx8,other_misc,5.2,5.250340461730957,-5.122
2ktz,other_misc,5.0458,6.000783443450928,-6.995
2ygh,riboswitch,6.5086,6.007821844397269,
2ydh,riboswitch,5.71,6.602419254485275,
2xo1,aptamer,4.0,4.169253349304199,
2xnz,aptamer,3.9586,3.8750171661376953,
3sd3,riboswitch,4.7447,5.164657496996284,
3q50,riboswitch,8.6882,6.753417089114162,
3q3z,riboswitch,8.6576,6.883880578756446,
2l94,other_misc,3.4437,5.501485824584961,-6.808
2xnw,aptamer,3.4318,3.3152875900268555,
3slm,other_misc,3.4214,6.443655014038086,
2xo0,aptamer,4.0969,4.218398571014404,
3s4p,other_misc,6.0,6.177853584289551,
4aob,riboswitch,6.3098,6.030769159394896,
4fe5,riboswitch,6.1355,6.8225345817643035,-8.523
2loa,g_quadruplex,5.6576,5.109277725219727,
4erj,riboswitch,2.5086,3.422402445101019,-6.491
2lwk,other_misc,4.2967,5.200562477111816,-6.215
4erl,riboswitch,3.2441,3.3408727642063667,
2mb3,other_misc,5.1308,6.141038417816162,-10.04
2rsk,other_misc,5.0,6.648355484008789,
4jf2,riboswitch,7.7471,6.855534974666474,
4kqy,riboswitch,7.7212,6.596586287237497,-10.31
4oqu,riboswitch,6.3872,5.081778046410573,
4lvz,riboswitch,6.301,6.228638020943567,-7.689
4nyg,riboswitch,5.8239,4.537551530769988,
4nyb,riboswitch,3.9872,3.531654015350277,
4lvy,riboswitch,3.9586,4.832068550456233,
4lvx,riboswitch,4.7447,4.164418107881085,
4qln,riboswitch,5.5376,6.933481618481319,
4lx5,riboswitch,6.6716,6.996176928040921,-5.968
4nyc,riboswitch,3.5528,3.4203301638150476,
4qk8,riboswitch,6.5229,6.731727512826489,
4qk9,riboswitch,6.5229,6.950375453418865,
4nya,riboswitch,4.3098,4.172036495258761,
4w90,riboswitch,7.2749,6.891525041727326,
