pdb,subtype,y_true,y_pred,model
1arj,viral_tar,3.0,6.113901114242095,svr
407d,duplex_groove,6.4634,5.834011554718018,step11_ridge
408d,duplex_groove,7.3188,5.992774486541748,step11_ridge
1qms,other_misc,9.0,6.9493513107299805,step11_ridge
1byj,ribosomal_asite,5.699,5.687010765075684,step11_ridge
1db6,other_misc,4.0,5.544767379760742,step11_ridge
1cvy,duplex_groove,6.4202,5.979745388031006,step11_ridge
454d,duplex_groove,8.0,6.344334125518799,step11_ridge
1cvx,duplex_groove,4.9586,5.728997230529785,step11_ridge
1f27,aptamer,6.0,7.403024196624756,step11_ridge
1f1t,aptamer,7.3979,6.523905277252197,step11_ridge
1qd3,other_misc,5.2291,5.635388374328613,step11_ridge
1fyp,ribosomal_asite,5.6021,6.03529691696167,step11_ridge
1i9v,ribosomal_asite,3.466,5.126227855682373,step11_ridge
1nzm,g_quadruplex,6.4815,6.369082450866699,step11_ridge
1p96,duplex_groove,5.5952,5.184572696685791,step11_ridge
1qv8,duplex_groove,6.9431,6.308732986450195,step11_ridge
1qv4,duplex_groove,6.9066,6.12560510635376,step11_ridge
1r4e,duplex_groove,5.2733,5.476555347442627,step11_ridge
1q8n,aptamer,6.0969,6.709131240844727,step11_ridge
1uts,viral_tar,7.4089,6.4688936763178795,svr
1uud,viral_tar,5.8125,6.087686343017523,svr
1yrj,other_misc,6.699,5.66792631149292,step11_ridge
2bee,ribosomal_asite,7.0,6.010862350463867,step11_ridge
2be0,ribosomal_asite,6.8861,5.984156608581543,step11_ridge
1ykv,other_misc,5.0,5.976445198059082,step11_ridge
2g5k,ribosomal_asite,6.301,5.72490119934082,step11_ridge
2b57,riboswitch,7.7696,5.38379482666173,mkl(unimol+tanimoto)
2f4s,ribosomal_asite,4.7212,5.435356140136719,step11_ridge
2f4t,ribosomal_asite,5.6576,5.734951496124268,step11_ridge
2g9c,other_misc,5.699,5.329819679260254,step11_ridge
2f4u,ribosomal_asite,5.2291,5.676408767700195,step11_ridge
2au4,aptamer,7.1249,6.511972427368164,step11_ridge
2o3w,ribosomal_asite,5.585,5.5347900390625,step11_ridge
2o3x,ribosomal_asite,4.301,5.599485874176025,step11_ridge
3e5c,riboswitch,9.2441,6.287148360820532,mkl(unimol+tanimoto)
3fo4,riboswitch,6.1427,5.265828883425588,mkl(unimol+tanimoto)
3ger,riboswitch,6.0506,5.582926674059651,mkl(unimol+tanimoto)
2kgp,riboswitch,6.0,5.814453217614434,mkl(unimol+tanimoto)
3fu2,riboswitch,7.699,6.915620833370746,mkl(unimol+tanimoto)
3ges,riboswitch,4.699,4.989392635409053,mkl(unimol+tanimoto)
3fo6,riboswitch,4.6383,4.962673354387497,mkl(unimol+tanimoto)
3gog,riboswitch,4.6198,6.063804061063874,mkl(unimol+tanimoto)
2kdq,viral_tar,7.5229,6.47534396592512,svr
3ds7,other_misc,4.4089,6.097005844116211,step11_ridge
3gao,riboswitch,4.4089,5.772890899594058,mkl(unimol+tanimoto)
3g4m,riboswitch,5.3565,5.961727577049942,mkl(unimol+tanimoto)
3got,riboswitch,5.3979,5.474116600087305,mkl(unimol+tanimoto)
3jq4,other_misc,5.0,5.803807735443115,step11_ridge
3mum,riboswitch,9.6778,9.18822770843234,mkl(unimol+tanimoto)
3mxh,riboswitch,10.9586,8.3051204003377,mkl(unimol+tanimoto)
3mur,riboswitch,7.8239,10.352122774571097,mkl(unimol+tanimoto)
3la5,riboswitch,6.0,5.930909148807085,mkl(unimol+tanimoto)
2ku0,other_misc,5.585,5.852683544158936,step11_ridge
3owz,riboswitch,5.4559,4.446723729814744,mkl(unimol+tanimoto)
3npn,riboswitch,7.4949,6.342611389101734,mkl(unimol+tanimoto)
2kx8,other_misc,5.2,5.278960227966309,step11_ridge
2ktz,other_misc,5.0458,6.015751361846924,step11_ridge
2ygh,riboswitch,6.5086,5.897038569858837,mkl(unimol+tanimoto)
2ydh,riboswitch,5.71,6.700891815385107,mkl(unimol+tanimoto)
2xo1,aptamer,4.0,4.167821407318115,step11_ridge
2xnz,aptamer,3.9586,3.867035627365112,step11_ridge
3sd3,riboswitch,4.7447,4.815932645976167,mkl(unimol+tanimoto)
3q50,riboswitch,8.6882,6.959232600032439,mkl(unimol+tanimoto)
3q3z,riboswitch,8.6576,6.676355755182199,mkl(unimol+tanimoto)
2l94,other_misc,3.4437,5.510323524475098,step11_ridge
2xnw,aptamer,3.4318,3.331595659255981,step11_ridge
3slm,other_misc,3.4214,6.424370765686035,step11_ridge
2xo0,aptamer,4.0969,4.222468852996826,step11_ridge
3s4p,other_misc,6.0,6.169226169586182,step11_ridge
4aob,riboswitch,6.3098,5.996922244642861,mkl(unimol+tanimoto)
4fe5,riboswitch,6.1355,6.965941949128868,mkl(unimol+tanimoto)
2loa,g_quadruplex,5.6576,5.09135627746582,step11_ridge
4erj,riboswitch,2.5086,3.6059554844536983,mkl(unimol+tanimoto)
2lwk,other_misc,4.2967,5.205312252044678,step11_ridge
4erl,riboswitch,3.2441,3.5204573258707574,mkl(unimol+tanimoto)
2mb3,other_misc,5.1308,6.147456645965576,step11_ridge
2rsk,other_misc,5.0,6.62946891784668,step11_ridge
4jf2,riboswitch,7.7471,6.961256586322125,mkl(unimol+tanimoto)
4kqy,riboswitch,7.7212,6.5600780964311465,mkl(unimol+tanimoto)
4oqu,riboswitch,6.3872,5.160522646240116,mkl(unimol+tanimoto)
4lvz,riboswitch,6.301,6.955165953819231,mkl(unimol+tanimoto)
4nyg,riboswitch,5.8239,4.29896556198207,mkl(unimol+tanimoto)
4nyb,riboswitch,3.9872,3.631243832167505,mkl(unimol+tanimoto)
4lvy,riboswitch,3.9586,4.679090296727446,mkl(unimol+tanimoto)
4lvx,riboswitch,4.7447,4.315949294809087,mkl(unimol+tanimoto)
4qln,riboswitch,5.5376,6.716907679775724,mkl(unimol+tanimoto)
4lx5,riboswitch,6.6716,6.581445228765855,mkl(unimol+tanimoto)
4nyc,riboswitch,3.5528,3.480274558472689,mkl(unimol+tanimoto)
4qk8,riboswitch,6.5229,6.502675635665658,mkl(unimol+tanimoto)
4qk9,riboswitch,6.5229,6.672405125118203,mkl(unimol+tanimoto)
4nya,riboswitch,4.3098,4.3607113815367695,mkl(unimol+tanimoto)
4w90,riboswitch,7.2749,6.844402538558114,mkl(unimol+tanimoto)
4ts0,aptamer,6.2757,6.2596211433410645,step11_ridge
4ts2,aptamer,6.2757,6.267354965209961,step11_ridge
4qlm,riboswitch,7.1805,6.187707595876593,mkl(unimol+tanimoto)
4lvw,riboswitch,4.1805,4.450275245284771,mkl(unimol+tanimoto)
4nyd,riboswitch,3.1739,5.210974740040122,mkl(unimol+tanimoto)
4l81,riboswitch,5.1367,6.619030969388936,mkl(unimol+tanimoto)
4lw0,riboswitch,5.0969,4.599567533448756,mkl(unimol+tanimoto)
4lvv,riboswitch,5.0177,4.457351604037135,mkl(unimol+tanimoto)
4lx6,riboswitch,7.0223,6.221437800026778,mkl(unimol+tanimoto)
2mg8,g_quadruplex,6.0155,6.372193813323975,step11_ridge
4yb0,riboswitch,6.0315,7.375260451037605,mkl(unimol+tanimoto)
4xwf,g_quadruplex,5.9666,5.382163047790527,step11_ridge
4znp,g_quadruplex,5.3279,5.998818397521973,step11_ridge
5c7u,riboswitch,7.3768,5.825059603413243,mkl(unimol+tanimoto)
5btp,g_quadruplex,6.3125,6.141241073608398,step11_ridge
5c7w,riboswitch,7.3188,6.047218586084984,mkl(unimol+tanimoto)
2mxs,ribosomal_asite,5.2924,5.863815784454346,step11_ridge
4rzd,riboswitch,8.1871,6.777246553965994,mkl(unimol+tanimoto)
4yaz,riboswitch,7.1759,6.3383273671943225,mkl(unimol+tanimoto)
2n0j,ribosomal_asite,6.4815,5.614933490753174,step11_ridge
5cdb,g_quadruplex,5.9586,5.653140068054199,step11_ridge
5lwj,other_misc,5.5432,5.997793674468994,step11_ridge
5uzz,other_misc,6.699,6.345890522003174,step11_ridge
5kpy,aptamer,5.4089,6.061594486236572,step11_ridge
5uee,other_misc,3.699,5.995673656463623,step11_ridge
5v3f,aptamer,8.5229,8.63102912902832,step11_ridge
5z80,other_misc,5.9136,5.969972133636475,step11_ridge
6d2u,other_misc,9.7447,6.50337553024292,step11_ridge
6dmc,riboswitch,6.2924,6.1469116028448285,mkl(unimol+tanimoto)
6c65,aptamer,9.0458,8.672234535217285,step11_ridge
6c63,aptamer,8.9586,9.123218536376951,step11_ridge
6c64,aptamer,8.8539,7.110732555389404,step11_ridge
6ck4,riboswitch,5.7447,6.430637307956269,mkl(unimol+tanimoto)
5w77,other_misc,4.7825,5.438558101654053,step11_ridge
6ck5,riboswitch,5.699,4.411929356463367,mkl(unimol+tanimoto)
6fz0,riboswitch,5.3595,7.423590983079185,mkl(unimol+tanimoto)
6dlt,riboswitch,4.2277,5.59904299167386,mkl(unimol+tanimoto)
