pdb,subtype,y_true,y_pred,rs_class
1arj,viral_tar,3.0,5.340012550354004,unknown
407d,duplex_groove,6.4634,5.834011554718018,unknown
408d,duplex_groove,7.3188,5.992774486541748,unknown
1qms,other_misc,9.0,6.9493513107299805,unknown
1byj,ribosomal_asite,5.699,5.687010765075684,unknown
1db6,other_misc,4.0,5.544767379760742,unknown
1cvy,duplex_groove,6.4202,5.979745388031006,unknown
454d,duplex_groove,8.0,6.344334125518799,unknown
1cvx,duplex_groove,4.9586,5.728997230529785,unknown
1f27,aptamer,6.0,7.403024196624756,unknown
1f1t,aptamer,7.3979,6.523905277252197,unknown
1qd3,other_misc,5.2291,5.635388374328613,unknown
1fyp,ribosomal_asite,5.6021,6.03529691696167,unknown
1i9v,ribosomal_asite,3.466,5.126227855682373,unknown
1nzm,g_quadruplex,6.4815,6.369082450866699,unknown
1p96,duplex_groove,5.5952,5.184572696685791,unknown
1qv8,duplex_groove,6.9431,6.308732986450195,unknown
1qv4,duplex_groove,6.9066,6.12560510635376,unknown
1r4e,duplex_groove,5.2733,5.476555347442627,unknown
1q8n,aptamer,6.0969,6.709131240844727,unknown
1uts,viral_tar,7.4089,5.484776020050049,unknown
1uud,viral_tar,5.8125,5.36197566986084,unknown
1yrj,other_misc,6.699,5.66792631149292,unknown
2bee,ribosomal_asite,7.0,6.010862350463867,unknown
2be0,ribosomal_asite,6.8861,5.984156608581543,unknown
1ykv,other_misc,5.0,5.976445198059082,unknown
2g5k,ribosomal_asite,6.301,5.72490119934082,unknown
2b57,riboswitch,7.7696,5.138915350341332,purine
2f4s,ribosomal_asite,4.7212,5.435356140136719,unknown
2f4t,ribosomal_asite,5.6576,5.734951496124268,unknown
2g9c,other_misc,5.699,5.329819679260254,unknown
2f4u,ribosomal_asite,5.2291,5.676408767700195,unknown
2au4,aptamer,7.1249,6.511972427368164,unknown
2o3w,ribosomal_asite,5.585,5.5347900390625,unknown
2o3x,ribosomal_asite,4.301,5.599485874176025,unknown
3e5c,riboswitch,9.2441,6.269866990997868,SAM_SAH
3fo4,riboswitch,6.1427,5.1984082149709385,purine
3ger,riboswitch,6.0506,5.515268877397621,purine
2kgp,riboswitch,6.0,5.946855194069627,FMN_FAD
3fu2,riboswitch,7.699,6.8378731044725605,purine
3ges,riboswitch,4.699,5.267760467180571,purine
3fo6,riboswitch,4.6383,5.1407594563588015,purine
3gog,riboswitch,4.6198,6.000611525317908,purine
2kdq,viral_tar,7.5229,7.411403656005859,unknown
3ds7,other_misc,4.4089,6.097005844116211,unknown
3gao,riboswitch,4.4089,5.658321027724423,purine
3g4m,riboswitch,5.3565,5.778705834805932,purine
3got,riboswitch,5.3979,5.239913014568313,purine
3jq4,other_misc,5.0,5.803807735443115,unknown
3mum,riboswitch,9.6778,8.569272296798214,FMN_FAD
3mxh,riboswitch,10.9586,8.193714768947022,FMN_FAD
3mur,riboswitch,7.8239,9.451040190470128,FMN_FAD
3la5,riboswitch,6.0,5.96906949666635,preQ_small
2ku0,other_misc,5.585,5.852683544158936,unknown
3owz,riboswitch,5.4559,4.582434872955768,amino_acid
3npn,riboswitch,7.4949,6.320611470241699,SAM_SAH
2kx8,other_misc,5.2,5.278960227966309,unknown
2ktz,other_misc,5.0458,6.015751361846924,unknown
2ygh,riboswitch,6.5086,6.01708060193944,SAM_SAH
2ydh,riboswitch,5.71,6.64127703492108,SAM_SAH
2xo1,aptamer,4.0,4.167821407318115,unknown
2xnz,aptamer,3.9586,3.867035627365112,unknown
3sd3,riboswitch,4.7447,4.979012951989156,other_lig
3q50,riboswitch,8.6882,6.8326151952307885,purine
3q3z,riboswitch,8.6576,6.826681659894412,FMN_FAD
2l94,other_misc,3.4437,5.510323524475098,unknown
2xnw,aptamer,3.4318,3.331595659255981,unknown
3slm,other_misc,3.4214,6.424370765686035,unknown
