pdb,subtype,y_true,y_pred,pred_s11,pred_s21,pred_s22,meta_pred,ext_mkl_pred
1arj,viral_tar,3.0,5.340012550354004,5.340012550354004,5.340012550354004,5.340012550354004,5.154929916861781,6.344100688445877
407d,duplex_groove,6.4634,5.834011554718018,5.834011554718018,5.834011554718018,5.834011554718018,6.191738488389695,6.104887382690625
408d,duplex_groove,7.3188,5.992774486541748,5.992774486541748,5.992774486541748,5.992774486541748,6.31984247608578,6.233209808134412
1qms,other_misc,9.0,9.0,6.9493513107299805,6.9493513107299805,9.0,8.053287926825895,3.7559913309553083
1byj,ribosomal_asite,5.699,5.687010765075684,5.687010765075684,5.687010765075684,5.687010765075684,5.781662951231359,5.8123329085630955
1db6,other_misc,4.0,5.017354965209961,5.544767379760742,5.544767379760742,5.017354965209961,5.595991693893756,5.29297466502452
1cvy,duplex_groove,6.4202,5.979745388031006,5.979745388031006,5.979745388031006,5.979745388031006,6.4090189586809085,7.052553058186862
454d,duplex_groove,8.0,6.344334125518799,6.344334125518799,6.344334125518799,6.344334125518799,5.8683701834591595,6.177484973925102
1cvx,duplex_groove,4.9586,5.728997230529785,5.728997230529785,5.728997230529785,5.728997230529785,6.215106564778352,6.329402779902326
1f27,aptamer,6.0,7.403024196624756,7.403024196624756,7.403024196624756,7.403024196624756,6.979898290601633,6.28541118535978
1f1t,aptamer,7.3979,6.523905277252197,6.523905277252197,6.523905277252197,6.523905277252197,6.352611522173193,6.018658921118331
1qd3,other_misc,5.2291,5.465610980987549,5.635388374328613,5.635388374328613,5.465610980987549,5.8929754104171534,5.757943470537236
1fyp,ribosomal_asite,5.6021,6.03529691696167,6.03529691696167,6.03529691696167,6.03529691696167,6.236243223235144,5.46418026021237
1i9v,ribosomal_asite,3.466,5.126227855682373,5.126227855682373,5.126227855682373,5.126227855682373,5.400044510871098,5.299546044687082
1nzm,g_quadruplex,6.4815,5.690326737770339,6.369082450866699,6.369082450866699,6.369082450866699,6.4097178855075,5.690326737770339
1p96,duplex_groove,5.5952,5.184572696685791,5.184572696685791,5.184572696685791,5.184572696685791,5.355558229951498,5.454843502816021
1qv8,duplex_groove,6.9431,6.308732986450195,6.308732986450195,6.308732986450195,6.308732986450195,6.393896569175568,6.4794016120095765
1qv4,duplex_groove,6.9066,6.12560510635376,6.12560510635376,6.12560510635376,6.12560510635376,6.235540408588989,6.84749004258738
1r4e,duplex_groove,5.2733,5.476555347442627,5.476555347442627,5.476555347442627,5.476555347442627,5.561574818141814,5.684707030377766
1q8n,aptamer,6.0969,6.709131240844727,6.709131240844727,6.709131240844727,6.709131240844727,6.698297090809151,5.821014697006241
1uts,viral_tar,7.4089,5.484776020050049,5.484776020050049,5.484776020050049,5.484776020050049,5.340394217547249,6.037000485420228
1uud,viral_tar,5.8125,5.36197566986084,5.36197566986084,5.36197566986084,5.36197566986084,5.372984259689743,6.054895219975174
1yrj,other_misc,6.699,5.465610980987549,5.66792631149292,5.66792631149292,5.465610980987549,5.980244900340412,5.892202937602816
2bee,ribosomal_asite,7.0,6.010862350463867,6.010862350463867,6.010862350463867,6.010862350463867,6.2192998356258435,5.977324709988509
2be0,ribosomal_asite,6.8861,5.984156608581543,5.984156608581543,5.984156608581543,5.984156608581543,6.165855189890833,6.03432188332043
1ykv,other_misc,5.0,5.465610980987549,5.976445198059082,5.976445198059082,5.465610980987549,5.994202667451047,6.1932019878404745
2g5k,ribosomal_asite,6.301,5.72490119934082,5.72490119934082,5.72490119934082,5.72490119934082,5.658165863474069,6.3010780308586725
2b57,riboswitch,7.7696,4.9872814471284,5.5782999992370605,5.138915350341332,4.894743772818029,5.287770588453743,4.9872814471284
2f4s,ribosomal_asite,4.7212,5.435356140136719,5.435356140136719,5.435356140136719,5.435356140136719,5.326934020624951,5.371088182697623
2f4t,ribosomal_asite,5.6576,5.734951496124268,5.734951496124268,5.734951496124268,5.734951496124268,5.6170966903806265,5.9967415837944245
2g9c,other_misc,5.699,5.465610980987549,5.329819679260254,5.329819679260254,5.465610980987549,5.518169750456499,5.011127124723128
2f4u,ribosomal_asite,5.2291,5.676408767700195,5.676408767700195,5.676408767700195,5.676408767700195,5.697275074382016,5.463940249542338
2au4,aptamer,7.1249,6.511972427368164,6.511972427368164,6.511972427368164,6.511972427368164,6.0314343870886615,5.583720108352892
2o3w,ribosomal_asite,5.585,5.5347900390625,5.5347900390625,5.5347900390625,5.5347900390625,5.189337104795631,5.3248506008092535
2o3x,ribosomal_asite,4.301,5.599485874176025,5.599485874176025,5.599485874176025,5.599485874176025,5.4381292655528926,5.54276358702105
3e5c,riboswitch,9.2441,6.245938156717885,6.713926792144775,6.269866990997868,6.231178458950038,5.885769174412581,6.245938156717885
3fo4,riboswitch,6.1427,5.318314688425408,5.992903232574463,5.1984082149709385,5.43377265836562,5.647176326684074,5.318314688425408
3ger,riboswitch,6.0506,5.519136192120039,5.433553695678711,5.515268877397621,5.499853898711952,5.694269280881149,5.519136192120039
2kgp,riboswitch,6.0,5.826661182631072,5.995847225189209,5.946855194069627,5.9121095324428055,5.890112362197703,5.826661182631072
3fu2,riboswitch,7.699,6.832947947607372,5.867667198181152,6.8378731044725605,7.009969509456056,5.993535755037868,6.832947947607372
3ges,riboswitch,4.699,5.4632577040812755,5.822208881378174,5.267760467180571,5.455236494086244,5.702813174471404,5.4632577040812755
3fo6,riboswitch,4.6383,5.00300660164938,5.513807773590088,5.1407594563588015,4.941001031228817,5.461016112960548,5.00300660164938
3gog,riboswitch,4.6198,6.042090163758121,6.0728254318237305,6.000611525317908,6.058388654218094,5.895470574889908,6.042090163758121
2kdq,viral_tar,7.5229,7.411403656005859,7.411403656005859,7.411403656005859,7.411403656005859,8.581305521541347,7.741651794217556
3ds7,other_misc,4.4089,5.465610980987549,6.097005844116211,6.097005844116211,5.465610980987549,5.982896779187548,5.775144310280973
3gao,riboswitch,4.4089,5.501910349880253,5.647795677185059,5.658321027724423,5.3917435707410295,5.754307358000598,5.501910349880253
3g4m,riboswitch,5.3565,5.643334604552405,5.549896717071533,5.778705834805932,5.777561445197007,5.774952609190385,5.643334604552405
3got,riboswitch,5.3979,5.64488585347759,5.34987735748291,5.239913014568313,5.587811938862942,5.690962256805538,5.64488585347759
3jq4,other_misc,5.0,5.465610980987549,5.803807735443115,5.803807735443115,5.465610980987549,5.87997269112102,5.881337000383014
3mum,riboswitch,9.6778,9.019527982578179,7.137957572937012,8.569272296798214,8.919334775121115,8.426602476077736,9.019527982578179
3mxh,riboswitch,10.9586,8.396820407955438,7.118512153625488,8.193714768947022,8.344656330701607,8.033757795305831,8.396820407955438
3mur,riboswitch,7.8239,9.808120345464989,7.106809616088867,9.451040190470128,9.861198550910434,9.080481375745784,9.808120345464989
3la5,riboswitch,6.0,5.945125012597672,5.232141971588135,5.96906949666635,5.956322106975234,5.701491891074859,5.945125012597672
2ku0,other_misc,5.585,5.465610980987549,5.852683544158936,5.852683544158936,5.465610980987549,5.624590678742294,5.201992735496161
3owz,riboswitch,5.4559,4.6024335962839995,4.869567394256592,4.582434872955768,4.498873281583983,4.37893677412153,4.6024335962839995
3npn,riboswitch,7.4949,6.32791741268729,6.665628433227539,6.320611470241699,6.333827320288262,6.034839799435601,6.32791741268729
2kx8,other_misc,5.2,5.465610980987549,5.278960227966309,5.278960227966309,5.465610980987549,4.845619653935385,3.3651127245464316
2ktz,other_misc,5.0458,5.465610980987549,6.015751361846924,6.015751361846924,5.465610980987549,5.897438431316596,5.7394436401953355
2ygh,riboswitch,6.5086,5.9301341991096415,6.493629455566406,6.01708060193944,5.974748880983618,6.280586554674161,5.9301341991096415
2ydh,riboswitch,5.71,6.6269581953823735,6.750297546386719,6.64127703492108,6.588677920721804,6.657785813836288,6.6269581953823735
2xo1,aptamer,4.0,4.167821407318115,4.167821407318115,4.167821407318115,4.167821407318115,4.801176491884185,5.6386898640848475
2xnz,aptamer,3.9586,3.867035627365112,3.867035627365112,3.867035627365112,3.867035627365112,4.509848530168149,5.0611303077551755
3sd3,riboswitch,4.7447,4.919853241069099,5.722548961639404,4.979012951989156,4.814939977889042,5.303338243573554,4.919853241069099
3q50,riboswitch,8.6882,6.827103658821285,5.746638298034668,6.8326151952307885,6.936665198126557,5.9726432941931,6.827103658821285
3q3z,riboswitch,8.6576,6.618857830698062,6.968271732330322,6.826681659894412,6.625480110287177,7.4518844233415855,6.618857830698062
2l94,other_misc,3.4437,5.465610980987549,5.510323524475098,5.510323524475098,5.465610980987549,5.400359623355744,5.774722307365072
2xnw,aptamer,3.4318,3.331595659255981,3.331595659255981,3.331595659255981,3.331595659255981,4.216253163459885,5.581119772664602
3slm,other_misc,3.4214,5.465610980987549,6.424370765686035,6.424370765686035,5.465610980987549,6.482580229367916,6.083809071484888
2xo0,aptamer,4.0969,4.222468852996826,4.222468852996826,4.222468852996826,4.222468852996826,4.642455226108128,4.835482362006542
3s4p,other_misc,6.0,5.465610980987549,6.169226169586182,6.169226169586182,5.465610980987549,6.05422538903184,6.286867281237423
4aob,riboswitch,6.3098,6.113025778634602,6.401576042175293,6.087547095460035,6.139313576333735,6.359280785084876,6.113025778634602
4fe5,riboswitch,6.1355,6.736722402818503,5.451396942138672,6.408614228253391,6.832973471676744,6.266866796472111,6.736722402818503
2loa,g_quadruplex,5.6576,5.833573040723542,5.09135627746582,5.09135627746582,5.09135627746582,5.433574147896434,5.833573040723542
4erj,riboswitch,2.5086,3.8970742474380256,5.272769451141357,3.83157012581492,3.908962225708338,4.060520717338487,3.8970742474380256
2lwk,other_misc,4.2967,5.465610980987549,5.205312252044678,5.205312252044678,5.465610980987549,5.305185484155409,5.61056653285411
4erl,riboswitch,3.2441,3.8498273167719645,5.750350475311279,3.805658340306138,3.8471937667972496,4.302648697818885,3.8498273167719645
2mb3,other_misc,5.1308,5.016073703765869,6.147456645965576,6.147456645965576,5.016073703765869,6.189631872627643,6.280039836071816
2rsk,other_misc,5.0,5.465610980987549,6.62946891784668,6.62946891784668,5.465610980987549,7.173313797746533,6.120983382844619
4jf2,riboswitch,7.7471,6.818661778677866,5.663591384887695,6.864731773123348,6.832316456968533,6.290285177668424,6.818661778677866
4kqy,riboswitch,7.7212,6.532021145622927,6.451015949249268,6.528361286160395,6.563847264924746,6.557018429881498,6.532021145622927
4oqu,riboswitch,6.3872,5.312385107151977,6.469000339508057,5.434010853548697,5.269005461453993,5.935081496114892,5.312385107151977
4lvz,riboswitch,6.301,6.666390789049521,5.4246673583984375,6.2853070471475965,6.856157932243591,5.929417380929047,6.666390789049521
4nyg,riboswitch,5.8239,4.53247245786037,6.163257598876953,4.479833453174696,4.589752389352991,4.508790122520221,4.53247245786037
4nyb,riboswitch,3.9872,4.144980252945848,6.628963947296143,4.001485201859446,4.19953692526874,4.920796260556541,4.144980252945848
4lvy,riboswitch,3.9586,4.877921051517536,5.739415645599365,4.895587767753947,4.959115731932618,4.9908532172201845,4.877921051517536
4lvx,riboswitch,4.7447,4.490823234193067,5.601927757263184,4.503735574593434,4.454246693872193,4.47586582563186,4.490823234193067
4qln,riboswitch,5.5376,6.692129142883148,6.760060787200928,6.601687710280544,6.717330828993552,6.799488953784979,6.692129142883148
4lx5,riboswitch,6.6716,6.487055315946141,5.346138954162598,6.471629068625775,6.411766350996683,6.210522088167101,6.487055315946141
4nyc,riboswitch,3.5528,4.095002139472937,6.258848190307617,3.9594080054207614,4.140412723895676,4.659851193112956,4.095002139472937
4qk8,riboswitch,6.5229,6.505995484548011,6.57204008102417,6.686167979612462,6.476489413703472,6.842094237499181,6.505995484548011
4qk9,riboswitch,6.5229,6.63568480061855,6.5692667961120605,6.838046608570483,6.7183894190029365,6.768030284459156,6.63568480061855
4nya,riboswitch,4.3098,4.483838910035055,5.512887001037598,4.53732626342356,3.9133479176918495,4.405892067369172,4.483838910035055
4w90,riboswitch,7.2749,6.74430832677846,6.644158840179443,6.647307751236679,6.763067826279015,6.434101846594804,6.74430832677846
4ts0,aptamer,6.2757,6.2596211433410645,6.2596211433410645,6.2596211433410645,6.2596211433410645,6.176012697141349,6.157519971421366
4ts2,aptamer,6.2757,6.267354965209961,6.267354965209961,6.267354965209961,6.267354965209961,6.139754250684454,6.2147272009592625
4qlm,riboswitch,7.1805,6.21035442430036,6.762171745300293,6.498244708867297,6.183030846535192,6.383780296074923,6.21035442430036
4lvw,riboswitch,4.1805,4.625644328304357,5.868167877197266,4.818093657585919,4.429056470265389,4.938106899376725,4.625644328304357
