pdb,subtype,y_true,y_pred,pred_s22,pred_s23,mkl5_pred
1arj,viral_tar,3.0,5.340012550354004,5.340012550354004,5.340012550354004,6.343829944110787
407d,duplex_groove,6.4634,5.834011554718018,5.834011554718018,5.834011554718018,6.128292660389023
408d,duplex_groove,7.3188,5.992774486541748,5.992774486541748,5.992774486541748,6.238858607444254
1qms,other_misc,9.0,9.0,9.0,9.0,3.8827201146682273
1byj,ribosomal_asite,5.699,5.687010765075684,5.687010765075684,5.687010765075684,5.80588824077917
1db6,other_misc,4.0,5.017354965209961,5.017354965209961,5.017354965209961,5.443335028580253
1cvy,duplex_groove,6.4202,5.979745388031006,5.979745388031006,5.979745388031006,7.063442399519845
454d,duplex_groove,8.0,6.344334125518799,6.344334125518799,6.344334125518799,6.0044620326276466
1cvx,duplex_groove,4.9586,5.728997230529785,5.728997230529785,5.728997230529785,6.452451178971619
1f27,aptamer,6.0,7.403024196624756,7.403024196624756,7.403024196624756,6.22729174957273
1f1t,aptamer,7.3979,6.523905277252197,6.523905277252197,6.523905277252197,5.814635043915079
1qd3,other_misc,5.2291,5.465610980987549,5.465610980987549,5.465610980987549,5.8160905553447595
1fyp,ribosomal_asite,5.6021,6.03529691696167,6.03529691696167,6.03529691696167,5.417744423812066
1i9v,ribosomal_asite,3.466,5.126227855682373,5.126227855682373,5.126227855682373,5.3823524391914805
1nzm,g_quadruplex,6.4815,5.690326737770339,6.369082450866699,5.690326737770339,5.601507485686849
1p96,duplex_groove,5.5952,5.184572696685791,5.184572696685791,5.184572696685791,5.583331438996118
1qv8,duplex_groove,6.9431,6.308732986450195,6.308732986450195,6.308732986450195,6.539073161783772
1qv4,duplex_groove,6.9066,6.12560510635376,6.12560510635376,6.12560510635376,6.800453319536691
1r4e,duplex_groove,5.2733,5.476555347442627,5.476555347442627,5.476555347442627,5.80245541682201
1q8n,aptamer,6.0969,6.709131240844727,6.709131240844727,6.709131240844727,5.670653567259073
1uts,viral_tar,7.4089,5.484776020050049,5.484776020050049,5.484776020050049,6.143733578123594
1uud,viral_tar,5.8125,5.36197566986084,5.36197566986084,5.36197566986084,5.980814886151995
1yrj,other_misc,6.699,5.465610980987549,5.465610980987549,5.465610980987549,5.933323385743286
2bee,ribosomal_asite,7.0,6.010862350463867,6.010862350463867,6.010862350463867,5.9340656419184565
2be0,ribosomal_asite,6.8861,5.984156608581543,5.984156608581543,5.984156608581543,6.040179247832141
1ykv,other_misc,5.0,5.465610980987549,5.465610980987549,5.465610980987549,6.125146391380278
2g5k,ribosomal_asite,6.301,5.72490119934082,5.72490119934082,5.72490119934082,6.2355162417763115
2b57,riboswitch,7.7696,5.089364328658933,4.894743772818029,4.9872814471284,5.089364328658933
2f4s,ribosomal_asite,4.7212,5.435356140136719,5.435356140136719,5.435356140136719,5.44098341795124
2f4t,ribosomal_asite,5.6576,5.734951496124268,5.734951496124268,5.734951496124268,5.878442500289282
2g9c,other_misc,5.699,5.465610980987549,5.465610980987549,5.465610980987549,4.93967390905491
2f4u,ribosomal_asite,5.2291,5.676408767700195,5.676408767700195,5.676408767700195,5.539042799731311
2au4,aptamer,7.1249,6.511972427368164,6.511972427368164,6.511972427368164,5.7010993606262215
2o3w,ribosomal_asite,5.585,5.5347900390625,5.5347900390625,5.5347900390625,5.309548619619315
2o3x,ribosomal_asite,4.301,5.599485874176025,5.599485874176025,5.599485874176025,5.559311118620926
3e5c,riboswitch,9.2441,6.143221792753273,6.231178458950038,6.245938156717885,6.143221792753273
3fo4,riboswitch,6.1427,5.327437709003515,5.43377265836562,5.318314688425408,5.327437709003515
3ger,riboswitch,6.0506,5.517098472183353,5.499853898711952,5.519136192120039,5.517098472183353
2kgp,riboswitch,6.0,5.776615605375399,5.9121095324428055,5.826661182631072,5.776615605375399
3fu2,riboswitch,7.699,7.0735064029547985,7.009969509456056,6.832947947607372,7.0735064029547985
3ges,riboswitch,4.699,5.520096783699763,5.455236494086244,5.463257704081276,5.520096783699763
3fo6,riboswitch,4.6383,5.004343478078981,4.941001031228817,5.00300660164938,5.004343478078981
3gog,riboswitch,4.6198,5.968110488084757,6.058388654218094,6.042090163758121,5.968110488084757
2kdq,viral_tar,7.5229,7.411403656005859,7.411403656005859,7.411403656005859,7.418302373082932
3ds7,other_misc,4.4089,5.465610980987549,5.465610980987549,5.465610980987549,5.738474957572707
3gao,riboswitch,4.4089,5.559819867170324,5.3917435707410295,5.501910349880253,5.559819867170324
3g4m,riboswitch,5.3565,5.55947878014453,5.777561445197007,5.643334604552405,5.55947878014453
3got,riboswitch,5.3979,5.695341185870819,5.587811938862942,5.64488585347759,5.695341185870819
3jq4,other_misc,5.0,5.465610980987549,5.465610980987549,5.465610980987549,5.82369522955259
3mum,riboswitch,9.6778,9.008380057099439,8.919334775121115,9.01952798257818,9.008380057099439
3mxh,riboswitch,10.9586,8.368264344541146,8.344656330701607,8.396820407955438,8.368264344541146
3mur,riboswitch,7.8239,9.570077604969015,9.861198550910434,9.808120345464989,9.570077604969015
3la5,riboswitch,6.0,5.912762531988495,5.956322106975234,5.945125012597672,5.912762531988495
2ku0,other_misc,5.585,5.465610980987549,5.465610980987549,5.465610980987549,5.297980890352561
3owz,riboswitch,5.4559,4.747084248753548,4.498873281583983,4.602433596284,4.747084248753548
3npn,riboswitch,7.4949,6.27831545493957,6.333827320288262,6.32791741268729,6.27831545493957
2kx8,other_misc,5.2,5.465610980987549,5.465610980987549,5.465610980987549,3.427151029702221
2ktz,other_misc,5.0458,5.465610980987549,5.465610980987549,5.465610980987549,5.753713710763767
2ygh,riboswitch,6.5086,5.933421577464034,5.974748880983618,5.9301341991096415,5.933421577464034
2ydh,riboswitch,5.71,6.551749220656873,6.588677920721804,6.6269581953823735,6.551749220656873
2xo1,aptamer,4.0,4.167821407318115,4.167821407318115,4.167821407318115,5.764798177020488
2xnz,aptamer,3.9586,3.867035627365112,3.867035627365112,3.867035627365112,5.079557968087566
3sd3,riboswitch,4.7447,4.987809813903471,4.814939977889042,4.919853241069099,4.987809813903471
3q50,riboswitch,8.6882,6.9614300691186735,6.936665198126557,6.827103658821285,6.9614300691186735
3q3z,riboswitch,8.6576,6.549883147307764,6.625480110287177,6.618857830698062,6.549883147307764
2l94,other_misc,3.4437,5.465610980987549,5.465610980987549,5.465610980987549,5.690915520815738
2xnw,aptamer,3.4318,3.331595659255981,3.331595659255981,3.331595659255981,5.70946534612816
3slm,other_misc,3.4214,5.465610980987549,5.465610980987549,5.465610980987549,5.962277994430412
2xo0,aptamer,4.0969,4.222468852996826,4.222468852996826,4.222468852996826,4.900763700128184
3s4p,other_misc,6.0,5.465610980987549,5.465610980987549,5.465610980987549,6.242789173691618
4aob,riboswitch,6.3098,6.22668365886625,6.139313576333735,6.113025778634602,6.22668365886625
4fe5,riboswitch,6.1355,6.7251360112890435,6.832973471676744,6.736722402818503,6.7251360112890435
2loa,g_quadruplex,5.6576,5.833573040723542,5.09135627746582,5.833573040723542,5.995278986501181
4erj,riboswitch,2.5086,4.293377341104624,3.908962225708338,3.8970742474380256,4.293377341104624
2lwk,other_misc,4.2967,5.465610980987549,5.465610980987549,5.465610980987549,5.623024191579669
4erl,riboswitch,3.2441,4.078438012488939,3.8471937667972496,3.849827316771965,4.078438012488939
2mb3,other_misc,5.1308,5.016073703765869,5.016073703765869,5.016073703765869,6.301606336041824
2rsk,other_misc,5.0,5.465610980987549,5.465610980987549,5.465610980987549,5.9927457563724795
4jf2,riboswitch,7.7471,6.928185327307541,6.832316456968533,6.818661778677866,6.928185327307541
4kqy,riboswitch,7.7212,6.452284597693307,6.563847264924746,6.532021145622927,6.452284597693307
4oqu,riboswitch,6.3872,5.402497439479705,5.269005461453993,5.312385107151977,5.402497439479705
4lvz,riboswitch,6.301,6.67660448719549,6.856157932243591,6.666390789049521,6.67660448719549
4nyg,riboswitch,5.8239,4.61653671296749,4.589752389352991,4.53247245786037,4.61653671296749
4nyb,riboswitch,3.9872,4.187056528485883,4.19953692526874,4.144980252945848,4.187056528485883
4lvy,riboswitch,3.9586,4.993971708028267,4.959115731932618,4.877921051517536,4.993971708028267
4lvx,riboswitch,4.7447,4.636284372454027,4.454246693872193,4.490823234193067,4.636284372454027
4qln,riboswitch,5.5376,6.5639977177899524,6.717330828993552,6.692129142883148,6.5639977177899524
4lx5,riboswitch,6.6716,6.336164060263272,6.411766350996683,6.487055315946141,6.336164060263272
4nyc,riboswitch,3.5528,4.259722634197802,4.140412723895676,4.095002139472937,4.259722634197802
4qk8,riboswitch,6.5229,6.489184513035288,6.476489413703472,6.505995484548011,6.489184513035288
4qk9,riboswitch,6.5229,6.594810668992449,6.7183894190029365,6.63568480061855,6.594810668992449
4nya,riboswitch,4.3098,4.531530576919019,3.9133479176918495,4.483838910035055,4.531530576919019
4w90,riboswitch,7.2749,6.799870085860771,6.763067826279015,6.74430832677846,6.799870085860771
4ts0,aptamer,6.2757,6.2596211433410645,6.2596211433410645,6.2596211433410645,6.153392801552624
4ts2,aptamer,6.2757,6.267354965209961,6.267354965209961,6.267354965209961,6.2332080059290025
4qlm,riboswitch,7.1805,6.318862100594351,6.183030846535192,6.21035442430036,6.318862100594351
4lvw,riboswitch,4.1805,4.687465462594227,4.429056470265389,4.625644328304357,4.687465462594227
4nyd,riboswitch,3.1739,5.374666401325591,4.984546242417148,5.127909183832699,5.374666401325591
4l81,riboswitch,5.1367,6.518045782691946,6.540447952262225,6.560338150307048,6.518045782691946
4lw0,riboswitch,5.0969,4.581274860482878,4.4869520102785225,4.652548210874637,4.581274860482878
4lvv,riboswitch,5.0177,4.661621216573321,4.6026151072260815,4.605409107074965,4.661621216573321
4lx6,riboswitch,7.0223,6.160594080036001,6.213163416813111,6.172868276135764,6.160594080036001
2mg8,g_quadruplex,6.0155,6.092153577460843,6.372193813323975,6.092153577460843,6.0807447323853765
4yb0,riboswitch,6.0315,7.204682395508819,7.250377591058566,7.26155962720368,7.204682395508819
4xwf,g_quadruplex,5.9666,5.464078717913203,5.382163047790527,5.464078717913203,5.569164725197316
4znp,g_quadruplex,5.3279,6.280499871566381,5.998818397521973,6.280499871566381,6.211851771863708
5c7u,riboswitch,7.3768,5.952979758143987,5.8267571828589615,5.871079667232433,5.952979758143987
5btp,g_quadruplex,6.3125,5.653593319532874,6.141241073608398,5.653593319532874,5.602407479685359
5c7w,riboswitch,7.3188,6.440813455416995,6.435578468506196,6.297156185193305,6.440813455416995
2mxs,ribosomal_asite,5.2924,5.863815784454346,5.863815784454346,5.863815784454346,6.1088979972630355
4rzd,riboswitch,8.1871,6.876206445393644,6.768158220977358,6.740628005257593,6.876206445393644
4yaz,riboswitch,7.1759,6.42711658850512,6.361543126292525,6.386167019953917,6.42711658850512
2n0j,ribosomal_asite,6.4815,5.614933490753174,5.614933490753174,5.614933490753174,5.24723488817191
5cdb,g_quadruplex,5.9586,5.8582886222412185,5.653140068054199,5.8582886222412185,6.0299200617575694
5lwj,other_misc,5.5432,5.465610980987549,5.465610980987549,5.465610980987549,5.870399389740257
5uzz,other_misc,6.699,5.465610980987549,5.465610980987549,5.465610980987549,6.627601247214248
5kpy,aptamer,5.4089,6.061594486236572,6.061594486236572,6.061594486236572,5.733961085293656
5uee,other_misc,3.699,4.607296466827393,4.607296466827393,4.607296466827393,5.92923690402565
5v3f,aptamer,8.5229,8.63102912902832,8.63102912902832,8.63102912902832,6.63239451095655
5z80,other_misc,5.9136,5.143898010253906,5.143898010253906,5.143898010253906,6.306330726058029
6d2u,other_misc,9.7447,5.465610980987549,5.465610980987549,5.465610980987549,6.388225847975342
6dmc,riboswitch,6.2924,5.697445907217474,5.863360615915638,5.816957779836093,5.697445907217474
6c65,aptamer,9.0458,8.672234535217285,8.672234535217285,8.672234535217285,8.104980677114504
6c63,aptamer,8.9586,9.123218536376951,9.123218536376951,9.123218536376951,8.604950838497603
6c64,aptamer,8.8539,7.110732555389404,7.110732555389404,7.110732555389404,7.645791028111724
6ck4,riboswitch,5.7447,6.268500780926733,6.323672140424827,6.294622132118429,6.268500780926733
5w77,other_misc,4.7825,5.068197250366211,5.068197250366211,5.068197250366211,5.780879155771819
6ck5,riboswitch,5.699,4.566860044480651,4.51482336617652,4.5143225414695145,4.566860044480651
6fz0,riboswitch,5.3595,7.157991027461995,7.261382687344874,7.274576353955043,7.157991027461995
6dlt,riboswitch,4.2277,5.5181545260829585,5.544850743822425,5.489851735421296,5.5181545260829585
6e84,aptamer,5.8539,6.123398780822754,6.123398780822754,6.123398780822754,6.215026149829868
6j2w,other_misc,5.8539,4.626264572143555,4.626264572143555,4.626264572143555,5.206210850966803
6e8t,aptamer,8.7696,8.173084259033203,8.173084259033203,8.173084259033203,7.04857189770614
6qn3,riboswitch,3.7212,4.964629328766045,5.019401675442441,4.939319846802743,4.964629328766045
6e8s,aptamer,8.6383,9.07891845703125,9.07891845703125,9.07891845703125,7.869472424076256
6hmo,other_misc,4.5528,5.465610980987549,5.465610980987549,5.465610980987549,5.424393600245978
6hag,riboswitch,5.4318,6.492255989078128,6.655743775971863,6.646781863952317,6.492255989078128
6p2h,other_misc,7.4685,5.465610980987549,5.465610980987549,5.465610980987549,5.6854830958815965
6jj0,g_quadruplex,7.4437,6.246540345077456,5.843963623046875,6.246540345077456,6.214854156465053
6e81,aptamer,5.5229,6.162921905517578,6.162921905517578,6.162921905517578,6.005998041882051
6e8u,aptamer,8.3372,8.383036613464355,8.383036613464355,8.383036613464355,7.6049333181093335
6hbt,duplex_groove,5.3279,5.018413066864014,5.018413066864014,5.018413066864014,4.718094324762611
6sx3,other_misc,5.1549,5.006446838378906,5.006446838378906,5.006446838378906,6.519952381374207
