pdb,subtype,y_true,y_pred,mkl_v2,cka_mkl
1arj,viral_tar,3.0,5.340012550354004,6.097641873574648,6.353476380240303
407d,duplex_groove,6.4634,5.834011554718018,6.1010874627494545,6.097126404762486
408d,duplex_groove,7.3188,5.992774486541748,6.248739127122957,6.24568835394007
1qms,other_misc,9.0,9.0,3.6807814800304346,3.886944061839037
1byj,ribosomal_asite,5.699,5.687010765075684,5.782476280187685,5.567655353075571
1db6,other_misc,4.0,5.017354965209961,5.563572131174841,5.591272362990786
1cvy,duplex_groove,6.4202,5.979745388031006,6.749258436319201,6.7471655529818015
454d,duplex_groove,8.0,6.344334125518799,5.733994807958858,5.778288226094111
1cvx,duplex_groove,4.9586,5.728997230529785,6.430370577120543,6.429597852698418
1f27,aptamer,6.0,7.403024196624756,5.8506263791048365,6.158443473657399
1f1t,aptamer,7.3979,6.523905277252197,5.636239522744832,5.110034902298826
1qd3,other_misc,5.2291,5.465610980987549,5.6780761754206015,6.0850714537853605
1fyp,ribosomal_asite,5.6021,6.03529691696167,5.314993533412149,5.39440353869819
1i9v,ribosomal_asite,3.466,5.126227855682373,5.3695846565189065,5.5591385347550695
1nzm,g_quadruplex,6.4815,5.690326737770339,5.725596482138026,5.758243302391446
1p96,duplex_groove,5.5952,5.184572696685791,5.9293189767280605,5.9284523037947
1qv8,duplex_groove,6.9431,6.308732986450195,6.499201724576202,6.518608261665839
1qv4,duplex_groove,6.9066,6.12560510635376,6.739285572054014,6.741411192503172
1r4e,duplex_groove,5.2733,5.476555347442627,6.052960378543858,6.05513640630723
1q8n,aptamer,6.0969,6.709131240844727,5.404594144833522,5.345470785762544
1uts,viral_tar,7.4089,5.484776020050049,6.137368482475893,6.2078884251968365
1uud,viral_tar,5.8125,5.36197566986084,5.9288257459189495,5.321030746108077
1yrj,other_misc,6.699,5.465610980987549,5.991873096321585,6.131399779284946
2bee,ribosomal_asite,7.0,6.010862350463867,5.878677538637458,5.8051521376057345
2be0,ribosomal_asite,6.8861,5.984156608581543,6.05757971818514,5.998230337961237
1ykv,other_misc,5.0,5.465610980987549,5.954551452798722,6.091309352966647
2g5k,ribosomal_asite,6.301,5.72490119934082,6.084946388279004,5.937821343453461
2b57,riboswitch,7.7696,5.089364328658933,5.444632818323485,5.431874404752636
2f4s,ribosomal_asite,4.7212,5.435356140136719,5.484011510386606,5.556633468912024
2f4t,ribosomal_asite,5.6576,5.734951496124268,5.7003967382047405,5.712127427387553
2g9c,other_misc,5.699,5.465610980987549,4.616719690158257,4.653235567992796
2f4u,ribosomal_asite,5.2291,5.676408767700195,5.586142574412551,5.720924304656248
2au4,aptamer,7.1249,6.511972427368164,5.712720304486888,6.033838869435337
2o3w,ribosomal_asite,5.585,5.5347900390625,5.35369073459604,5.154373939974057
2o3x,ribosomal_asite,4.301,5.599485874176025,5.571827903498149,5.512039022983215
3e5c,riboswitch,9.2441,6.143221792753273,6.097520945423179,5.895471761215554
3fo4,riboswitch,6.1427,5.327437709003515,5.288452099564044,5.349483223540813
3ger,riboswitch,6.0506,5.517098472183353,5.417050112296639,5.495760552095983
2kgp,riboswitch,6.0,5.776615605375399,5.5946985505079185,5.2380174975489044
3fu2,riboswitch,7.699,7.073506402954799,7.245997787919492,7.494269515057174
3ges,riboswitch,4.699,5.520096783699763,5.5181125243487505,5.535597628512307
3fo6,riboswitch,4.6383,5.004343478078981,5.075167825640816,5.082877118049305
3gog,riboswitch,4.6198,5.968110488084757,5.945221662667238,5.823570006437411
2kdq,viral_tar,7.5229,7.411403656005859,6.959960030372365,7.182284053053143
3ds7,other_misc,4.4089,5.465610980987549,5.943175532315597,5.351452752590424
3gao,riboswitch,4.4089,5.559819867170324,5.551337407243685,5.566546351727567
3g4m,riboswitch,5.3565,5.55947878014453,5.6926534894298735,5.714841222826418
3got,riboswitch,5.3979,5.695341185870819,5.657397158745473,5.739722842985897
3jq4,other_misc,5.0,5.465610980987549,5.570688787930988,5.766647868937224
3mum,riboswitch,9.6778,9.00838005709944,8.920878004767545,9.019203315350415
3mxh,riboswitch,10.9586,8.368264344541146,8.247533924156535,8.238067136880225
3mur,riboswitch,7.8239,9.570077604969017,9.210682560836688,9.154035025280711
3la5,riboswitch,6.0,5.912762531988495,5.6521326151533655,5.77921134126048
2ku0,other_misc,5.585,5.465610980987549,5.392104943709518,5.456362444834755
3owz,riboswitch,5.4559,4.747084248753548,4.6079574739653975,4.74960424413528
3npn,riboswitch,7.4949,6.27831545493957,6.028568277069639,6.412651420572115
2kx8,other_misc,5.2,5.465610980987549,3.426220150928697,3.217656641625997
2ktz,other_misc,5.0458,5.465610980987549,5.758152724329668,5.863462765118285
2ygh,riboswitch,6.5086,5.933421577464034,5.95962439929224,5.95599613763573
2ydh,riboswitch,5.71,6.551749220656873,6.5037430568294745,6.490001302276104
2xo1,aptamer,4.0,4.167821407318115,5.988204971877687,6.0061231996478295
2xnz,aptamer,3.9586,3.867035627365112,5.047167115686078,5.05390589398314
3sd3,riboswitch,4.7447,4.987809813903471,5.147182614111027,5.057173730976704
3q50,riboswitch,8.6882,6.9614300691186735,7.04398997096289,7.212565045542789
3q3z,riboswitch,8.6576,6.549883147307764,6.5221110248319825,6.575504051205446
2l94,other_misc,3.4437,5.465610980987549,5.438398647551852,5.550283469112272
2xnw,aptamer,3.4318,3.331595659255981,5.6572360127400065,5.713672475063714
3slm,other_misc,3.4214,5.465610980987549,5.972298940553236,5.4586323493088535
2xo0,aptamer,4.0969,4.222468852996826,5.023309863938003,5.105105209166813
3s4p,other_misc,6.0,5.465610980987549,6.16008342899689,6.113310773393071
4aob,riboswitch,6.3098,6.22668365886625,6.335338340183092,6.319871921879487
4fe5,riboswitch,6.1355,6.725136011289044,6.412780335666593,6.37844917809274
2loa,g_quadruplex,5.6576,5.833573040723542,6.132530948622985,6.174962000445629
4erj,riboswitch,2.5086,4.293377341104624,4.570276023025273,5.123351016161095
2lwk,other_misc,4.2967,5.465610980987549,5.67791587009193,5.21677400682066
4erl,riboswitch,3.2441,4.078438012488939,4.400636006848825,4.229832923628348
2mb3,other_misc,5.1308,5.016073703765869,6.328223251957619,6.303390551441022
2rsk,other_misc,5.0,5.465610980987549,5.789017615499793,5.754837610172563
4jf2,riboswitch,7.7471,6.928185327307541,7.15599495400341,6.936268324335895
4kqy,riboswitch,7.7212,6.452284597693307,6.4070697808544885,6.253116702410264
4oqu,riboswitch,6.3872,5.402497439479705,5.5190029763546065,5.537342232119761
4lvz,riboswitch,6.301,6.67660448719549,6.54072331881185,6.506170737368509
4nyg,riboswitch,5.8239,4.61653671296749,4.765099130175812,4.68766421997466
4nyb,riboswitch,3.9872,4.187056528485883,4.2080664065419615,4.169969203331181
4lvy,riboswitch,3.9586,4.993971708028267,5.221851495263075,5.227405644236864
4lvx,riboswitch,4.7447,4.636284372454027,4.884891162420672,4.867921382921212
4qln,riboswitch,5.5376,6.563997717789952,6.319424108580451,6.4069174004248115
4lx5,riboswitch,6.6716,6.336164060263272,6.061724413921034,6.129964786161473
4nyc,riboswitch,3.5528,4.259722634197802,4.453412569071148,4.415829786597308
4qk8,riboswitch,6.5229,6.489184513035288,6.441759149346684,6.174559170411986
4qk9,riboswitch,6.5229,6.594810668992449,6.568754499856497,6.626287031121022
4nya,riboswitch,4.3098,4.531530576919019,4.531250024264184,4.4715902118317885
4w90,riboswitch,7.2749,6.799870085860771,6.810132790491062,7.150389350631716
4ts0,aptamer,6.2757,6.2596211433410645,6.129821057470756,6.147184642320424
4ts2,aptamer,6.2757,6.267354965209961,6.247039341297962,6.254933574775755
