pdb,subtype,y_true,y_pred,pred_7k
1arj,viral_tar,3.0,5.340012550354004,6.097094504200745
407d,duplex_groove,6.4634,5.834011554718018,6.270510479558789
408d,duplex_groove,7.3188,5.992774486541748,6.342772653354912
1qms,other_misc,9.0,9.0,4.012904513545574
1byj,ribosomal_asite,5.699,5.687010765075684,5.630026801340074
1db6,other_misc,4.0,5.017354965209961,5.55018519551619
1cvy,duplex_groove,6.4202,5.979745388031006,7.026027231727947
454d,duplex_groove,8.0,6.344334125518799,5.8247230416766005
1cvx,duplex_groove,4.9586,5.728997230529785,6.44420763254899
1f27,aptamer,6.0,7.403024196624756,6.404801710854035
1f1t,aptamer,7.3979,6.523905277252197,5.609139742094051
1qd3,other_misc,5.2291,5.465610980987549,6.083116098368977
1fyp,ribosomal_asite,5.6021,6.03529691696167,5.480306607619813
1i9v,ribosomal_asite,3.466,5.126227855682373,5.492973611715888
1nzm,g_quadruplex,6.4815,5.690326737770339,5.491927735107296
1p96,duplex_groove,5.5952,5.184572696685791,5.520318898184205
1qv8,duplex_groove,6.9431,6.308732986450195,6.643581400979084
1qv4,duplex_groove,6.9066,6.12560510635376,6.8204342571171805
1r4e,duplex_groove,5.2733,5.476555347442627,5.650428700934291
1q8n,aptamer,6.0969,6.709131240844727,5.567907423106817
1uts,viral_tar,7.4089,5.484776020050049,6.087428496327114
1uud,viral_tar,5.8125,5.36197566986084,5.80564633922208
1yrj,other_misc,6.699,5.465610980987549,5.919514434158355
2bee,ribosomal_asite,7.0,6.010862350463867,5.9312233356073865
2be0,ribosomal_asite,6.8861,5.984156608581543,6.026032840585559
1ykv,other_misc,5.0,5.465610980987549,6.151880425145142
2g5k,ribosomal_asite,6.301,5.72490119934082,6.292791047136225
2b57,riboswitch,7.7696,5.089364328658933,4.919564767590199
2f4s,ribosomal_asite,4.7212,5.435356140136719,5.407990396284131
2f4t,ribosomal_asite,5.6576,5.734951496124268,5.818261575794031
2g9c,other_misc,5.699,5.465610980987549,5.11686038212585
2f4u,ribosomal_asite,5.2291,5.676408767700195,5.622415014780766
2au4,aptamer,7.1249,6.511972427368164,5.712798694024965
2o3w,ribosomal_asite,5.585,5.5347900390625,5.110984403991429
2o3x,ribosomal_asite,4.301,5.599485874176025,5.527129301465473
3e5c,riboswitch,9.2441,6.143221792753273,5.957945887560724
3fo4,riboswitch,6.1427,5.327437709003515,5.594801549053485
3ger,riboswitch,6.0506,5.517098472183353,5.3290067778567884
2kgp,riboswitch,6.0,5.776615605375399,5.774074088502688
3fu2,riboswitch,7.699,7.073506402954799,7.456278559560474
3ges,riboswitch,4.699,5.520096783699763,5.509187627553101
3fo6,riboswitch,4.6383,5.004343478078981,4.997602606397747
3gog,riboswitch,4.6198,5.968110488084757,6.011474541736744
2kdq,viral_tar,7.5229,7.411403656005859,7.60340800317735
3ds7,other_misc,4.4089,5.465610980987549,5.547423885826937
3gao,riboswitch,4.4089,5.559819867170324,5.397867943778156
3g4m,riboswitch,5.3565,5.55947878014453,5.775723605630047
3got,riboswitch,5.3979,5.695341185870819,5.57716932481785
3jq4,other_misc,5.0,5.465610980987549,5.952860184362332
3mum,riboswitch,9.6778,9.00838005709944,9.114677582031316
3mxh,riboswitch,10.9586,8.368264344541146,8.417523128974418
3mur,riboswitch,7.8239,9.570077604969017,9.51022714577053
3la5,riboswitch,6.0,5.912762531988495,5.9782209303718705
2ku0,other_misc,5.585,5.465610980987549,5.212418210328779
3owz,riboswitch,5.4559,4.747084248753548,4.534903880173956
3npn,riboswitch,7.4949,6.27831545493957,6.599520302186341
2kx8,other_misc,5.2,5.465610980987549,3.5660854413949084
2ktz,other_misc,5.0458,5.465610980987549,5.799928797971475
2ygh,riboswitch,6.5086,5.933421577464034,6.000692146221616
2ydh,riboswitch,5.71,6.551749220656873,6.456362750888773
2xo1,aptamer,4.0,4.167821407318115,5.874652043605706
2xnz,aptamer,3.9586,3.867035627365112,5.142576831310155
3sd3,riboswitch,4.7447,4.987809813903471,4.8550056622594795
3q50,riboswitch,8.6882,6.9614300691186735,7.19215393361295
3q3z,riboswitch,8.6576,6.549883147307764,6.456434667400759
2l94,other_misc,3.4437,5.465610980987549,5.759248357404044
2xnw,aptamer,3.4318,3.331595659255981,5.597242627446729
3slm,other_misc,3.4214,5.465610980987549,5.731665640394547
2xo0,aptamer,4.0969,4.222468852996826,5.296350662330023
3s4p,other_misc,6.0,5.465610980987549,6.2925332792607795
4aob,riboswitch,6.3098,6.22668365886625,6.330790928976467
4fe5,riboswitch,6.1355,6.725136011289044,6.87625043689463
2loa,g_quadruplex,5.6576,5.833573040723542,6.044421924343284
4erj,riboswitch,2.5086,4.293377341104624,4.770086761996668
2lwk,other_misc,4.2967,5.465610980987549,5.185801167476436
4erl,riboswitch,3.2441,4.078438012488939,3.9432473409734765
2mb3,other_misc,5.1308,5.016073703765869,6.274513747281502
2rsk,other_misc,5.0,5.465610980987549,5.756075297474533
4jf2,riboswitch,7.7471,6.928185327307541,6.799037658393644
4kqy,riboswitch,7.7212,6.452284597693307,6.439757488396824
4oqu,riboswitch,6.3872,5.402497439479705,5.3397423898085155
4lvz,riboswitch,6.301,6.67660448719549,6.985405629458462
4nyg,riboswitch,5.8239,4.61653671296749,4.552524261085145
4nyb,riboswitch,3.9872,4.187056528485883,4.31810186951596
4lvy,riboswitch,3.9586,4.993971708028267,5.033416486083461
4lvx,riboswitch,4.7447,4.636284372454027,4.501193256503338
4qln,riboswitch,5.5376,6.563997717789952,6.594729277623474
