pdb,subtype,y_true,y_pred,is_sam_sah
1arj,viral_tar,3.0,5.340012550354004,0
407d,duplex_groove,6.4634,5.834011554718018,0
408d,duplex_groove,7.3188,5.992774486541748,0
1qms,other_misc,9.0,9.0,0
1byj,ribosomal_asite,5.699,5.687010765075684,0
1db6,other_misc,4.0,5.017354965209961,0
1cvy,duplex_groove,6.4202,5.979745388031006,0
454d,duplex_groove,8.0,6.344334125518799,0
1cvx,duplex_groove,4.9586,5.728997230529785,0
1f27,aptamer,6.0,7.403024196624756,0
1f1t,aptamer,7.3979,6.523905277252197,0
1qd3,other_misc,5.2291,5.465610980987549,0
1fyp,ribosomal_asite,5.6021,6.03529691696167,0
1i9v,ribosomal_asite,3.466,5.126227855682373,0
1nzm,g_quadruplex,6.4815,5.690326737770339,0
1p96,duplex_groove,5.5952,5.184572696685791,0
1qv8,duplex_groove,6.9431,6.308732986450195,0
1qv4,duplex_groove,6.9066,6.12560510635376,0
1r4e,duplex_groove,5.2733,5.476555347442627,0
1q8n,aptamer,6.0969,6.709131240844727,0
1uts,viral_tar,7.4089,5.484776020050049,0
1uud,viral_tar,5.8125,5.36197566986084,0
1yrj,other_misc,6.699,5.465610980987549,0
2bee,ribosomal_asite,7.0,6.010862350463867,0
2be0,ribosomal_asite,6.8861,5.984156608581543,0
1ykv,other_misc,5.0,5.465610980987549,0
2g5k,ribosomal_asite,6.301,5.72490119934082,0
2b57,riboswitch,7.7696,5.089364328658933,0
2f4s,ribosomal_asite,4.7212,5.435356140136719,0
2f4t,ribosomal_asite,5.6576,5.734951496124268,0
2g9c,other_misc,5.699,5.465610980987549,0
2f4u,ribosomal_asite,5.2291,5.676408767700195,0
2au4,aptamer,7.1249,6.511972427368164,0
2o3w,ribosomal_asite,5.585,5.5347900390625,0
2o3x,ribosomal_asite,4.301,5.599485874176025,0
3e5c,riboswitch,9.2441,9.537517535604,1
3fo4,riboswitch,6.1427,5.327437709003515,0
3ger,riboswitch,6.0506,5.517098472183353,0
2kgp,riboswitch,6.0,5.776615605375399,0
3fu2,riboswitch,7.699,7.073506402954799,0
3ges,riboswitch,4.699,5.520096783699763,0
3fo6,riboswitch,4.6383,5.004343478078981,0
3gog,riboswitch,4.6198,5.968110488084757,0
2kdq,viral_tar,7.5229,7.411403656005859,0
3ds7,other_misc,4.4089,5.465610980987549,0
3gao,riboswitch,4.4089,5.559819867170324,0
